Nr.;Tekst;Kategori;Enhed;Mængde;Pris
03.90.01,07;Bygningsbasis, højere læreanstalter;[blandet];m2;1;1.222,96
04.90.01,07;Primære bygningsdele, højere læreanstalter;[blandet];m2;1;6.747,72
04.90.02,07;Komplettering, højere læreanstalter;[blandet];m2;1;2.384,61
04.90.03,07;Overflader, højere læreanstalter;[blandet];m2;1;3.147,86
05.05.70,07;Spildevandsinstallationer, højere læreanstalter;[blandet];m2;1;123,64
05.14.61,07;Sanitet, højere læreanstalter;[blandet];m2;1;206,15
05.19.01,07;Vandinstallationer, højere læreanstalter;[blandet];m2;1;220,48
05.29.95,07;Fjernvarmeanlæg, højere læreanstalter;[blandet];m2;1;571,85
05.36.90,07;Ventilation, højere læreanstalter;[blandet];m2;1;1.364,17
05.36.95,02;Køling, højere læreanstalter;[blandet];m2;1;492,98
05.51.27,01;Elinstallationer, højere læreanstalter;[blandet];m2;1;1.233,65
05.90.04,07;VVS-anlæg, øvrige, højere læreanstalter;[blandet];m2;1;464,29
07.90.01,07;Fast inventar, højere læreanstalter;[blandet];m2;1;1.548,53
